date,equity,equity_mtm,risk_committed,risk_scale,open_positions
2024-01-22,100000.0,100000.0,0,1.0,0
2024-01-23,100000.0,100000.0,0,1.0,0
2024-01-24,100000.0,100000.0,0,1.0,0
2024-01-25,100000.0,100000.0,0,1.0,0
2024-01-26,100000.0,100000.0,0,1.0,0
2024-01-29,100000.0,100000.0,0,1.0,0
2024-01-30,100000.0,100000.0,0,1.0,0
2024-01-31,100000.0,100000.0,0,1.0,0
2024-02-01,100000.0,100000.0,0,1.0,0
2024-02-02,100000.0,100000.0,0,1.0,0
2024-02-05,100000.0,100000.0,0,1.0,0
2024-02-06,100000.0,100000.0,0,1.0,0
2024-02-07,100000.0,100000.0,0,1.0,0
2024-02-08,100000.0,100000.0,0,1.0,0
2024-02-09,100000.0,100000.0,0,1.0,0
2024-02-12,100000.0,100000.0,0,2.0,0
2024-02-13,100000.0,99952.4572687,3693.1,2.0,1
2024-02-14,100278.82721142,100278.82721142,0,2.0,0
2024-02-15,100278.82721142,100278.82721142,0,2.0,0
2024-02-16,100278.82721142,100278.82721142,0,2.0,0
2024-02-20,100278.82721142,100278.82721142,0,2.0,0
2024-02-21,100278.82721142,100278.82721142,0,2.0,0
2024-02-22,100278.82721142,100278.82721142,0,2.0,0
2024-02-23,100278.82721142,100278.82721142,0,2.0,0
2024-02-26,100278.82721142,100278.82721142,0,2.0,0
2024-02-27,100278.82721142,100278.82721142,0,2.0,0
2024-02-28,100278.82721142,100278.82721142,0,2.0,0
2024-02-29,100278.82721142,100278.82721142,0,2.0,0
2024-03-01,100278.82721142,100278.82721142,0,2.0,0
2024-03-04,100278.82721142,100278.82721142,0,2.0,0
2024-03-05,100278.82721142,100278.82721142,0,2.0,0
2024-03-06,100278.82721142,100278.82721142,0,2.0,0
2024-03-07,100278.82721142,100278.82721142,0,2.0,0
2024-03-08,100278.82721142,100278.82721142,0,2.0,0
2024-03-11,100278.82721142,100213.42526017199,3648.16,2.0,1
2024-03-12,100590.76078289199,100590.76078289199,0,2.0,0
2024-03-13,100590.76078289199,100590.76078289199,0,2.0,0
2024-03-14,100590.76078289199,100590.76078289199,0,2.0,0
2024-03-15,100590.76078289199,100548.40465629999,3684.6400000000003,2.0,1
2024-03-18,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-19,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-20,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-21,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-22,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-25,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-26,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-27,100886.06168911599,100886.06168911599,0,2.0,0
2024-03-28,100886.06168911599,100886.06168911599,0,2.0,0
2024-04-01,100886.06168911599,100886.06168911599,0,2.0,0
2024-04-02,100886.06168911599,100800.580541076,3541.3999999999996,2.0,1
2024-04-03,101166.12096583599,101166.12096583599,0,2.0,0
2024-04-04,101166.12096583599,101046.68735857999,7353.84,2.0,2
2024-04-05,101749.84675770799,101654.76668830798,1786.2,2.0,1
2024-04-08,101749.84675770799,101751.12797297999,5451.88,2.0,2
2024-04-09,101867.50711306799,101909.06839773999,3665.68,2.0,1
2024-04-10,101377.35572279598,101204.28005642799,10792.119999999999,2.0,3
2024-04-11,102406.81411536397,102373.57993032398,3672.08,2.0,1
2024-04-12,101827.38703965198,101706.27569753998,5550.68,2.0,2
2024-04-15,100572.83917795598,100377.11440285198,11016.24,2.0,3
2024-04-16,100572.83917795598,100899.75440285198,11016.24,2.0,3
2024-04-17,100757.65857408398,100729.97143566798,7377.68,2.0,2
2024-04-18,100970.23192982798,100856.55255761997,7360.4,2.0,2
2024-04-19,97803.18803702795,97499.07255761995,3674.96,1.8185791829477747,1
2024-04-22,98127.15255761995,98081.26868170795,3207.47,1.7864396272821106,1
2024-04-23,98357.18783037395,98257.85875721594,6446.72,1.7793950757962729,2
2024-04-24,98357.18783037395,98050.86875721595,6446.72,1.7787134762628534,2
2024-04-25,98738.85554445196,98738.85554445196,0,1.7464974479011928,0
2024-04-26,98738.85554445196,98738.85554445196,0,1.7464974479011928,0
2024-04-29,98738.85554445196,98738.85554445196,0,1.7464974479011928,0
2024-04-30,98738.85554445196,98738.85554445196,0,1.7464974479011928,0
2024-05-01,98738.85554445196,98738.85554445196,0,1.7464974479011928,0
2024-05-02,98738.85554445196,98738.85554445196,0,1.7558562921070755,0
2024-05-03,98738.85554445196,98738.85554445196,0,1.7558562921070755,0
2024-05-06,98738.85554445196,98738.85554445196,0,1.7894685582279304,0
2024-05-07,98738.85554445196,98738.85554445196,0,1.7924437927387669,0
2024-05-08,98738.85554445196,98738.85554445196,0,1.7958253183177613,0
2024-05-09,98738.85554445196,98738.85554445196,0,1.8056585686872058,0
2024-05-10,98738.85554445196,98738.85554445196,0,1.9150945499914238,0
2024-05-13,98738.85554445196,98710.42243805196,3669.6800000000003,1.9253398187891206,1
2024-05-14,98975.43968659596,98944.12593301195,3671.12,1.9959749526518844,1
2024-05-15,99276.50318155596,99276.50318155596,0,2.0,0
2024-05-16,99276.50318155596,99276.50318155596,0,2.0,0
2024-05-17,99276.50318155596,99276.50318155596,0,2.0,0
2024-05-20,99276.50318155596,99196.69648429197,3543.3599999999997,2.0,1
2024-05-21,99276.50318155596,99168.13648429196,3543.3599999999997,2.0,1
2024-05-22,99276.50318155596,99180.17604313996,7204.639999999999,2.0,2
